name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Budapest, MagyarorszГЎg",2020-02-20,9.3,-1,4.9,6.9,-3.3,2,-1.4,65.3,0.145,100,4.17,rain,0,0,39.6,23.2,316.5,1023,30.5,10,111.4,9.6,6,,2020-02-20T06:41:54,2020-02-20T17:13:58,0.96,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-21,7.9,-1.7,3.5,4,-4.1,0.1,-2.2,67.3,0.044,100,4.17,rain,0,0,73.2,39.1,300.6,1023.5,41,9.9,41.6,3.6,2,,2020-02-21T06:40:09,2020-02-21T17:15:30,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-22,10.4,-3,4.6,10.4,-4.2,3,-2.7,61.7,0,0,0,,0,0,28.8,17.1,223.8,1029.8,43.1,10,107.2,9.2,5,,2020-02-22T06:38:22,2020-02-22T17:17:03,1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-23,13.8,3.2,8.9,13.8,1.1,8.1,1.4,59.9,0.023,100,4.17,rain,0,0,39.6,26.1,253.7,1019.2,72.9,10,49.9,4.4,3,,2020-02-23T06:36:35,2020-02-23T17:18:35,1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-24,15.8,6.5,9.2,15.8,2.6,7.3,-1.2,48.7,0.042,100,4.17,rain,0,0,62.7,37.5,292.9,1017.5,44.6,10,129.4,11.3,6,,2020-02-24T06:34:47,2020-02-24T17:20:07,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-25,17.5,0.7,8.7,17.5,-2.1,7.6,1.2,60.7,0,0,0,,0,0,34,19.8,193.8,1008.1,41.3,10,112,9.8,6,,2020-02-25T06:32:57,2020-02-25T17:21:38,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-26,8.4,4.3,7,7.7,0.8,5,3.2,77.7,7.198,100,8.33,rain,0,0,28.8,20.6,289.7,999.3,90.5,8.9,33.1,2.9,1,,2020-02-26T06:31:07,2020-02-26T17:23:10,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-27,8.2,1.6,4.7,5,-1.4,1.2,-2.3,61.9,0,0,0,,0,0,39.3,24.1,298.3,1005.4,68.9,10,87,7.4,5,,2020-02-27T06:29:16,2020-02-27T17:24:41,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-28,7.3,2.1,4.4,3,-1.7,0.4,-0.7,70.9,1.115,100,12.5,rain,0,0,54,37.8,300.9,1009,62.3,10,83,7.3,3,,2020-02-28T06:27:24,2020-02-28T17:26:12,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-02-29,9.5,-2.3,4.3,6.7,-5.5,1.4,-2.8,62.7,0,0,0,,0,0,46.1,23.8,167.1,1015.6,68.1,10,111.6,9.8,5,,2020-02-29T06:25:31,2020-02-29T17:27:42,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-03-01,12.1,4.4,7.8,12.1,1.7,6.4,1.2,64.6,0.773,100,4.17,rain,0,0,32.4,16,160.3,1007.9,77.4,10,88.1,7.6,5,,2020-03-01T06:23:38,2020-03-01T17:29:12,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-03-02,13.8,7.3,9.9,13.8,4.2,8.3,5.4,75.5,11.838,100,12.5,rain,2.9,1.5,43.2,27.4,202.4,1001,78.5,9.3,134.8,11.6,6,,2020-03-02T06:21:44,2020-03-02T17:30:42,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-03-03,11.2,7.6,9.5,11.2,5.1,8.7,7.2,85.6,2.22,100,8.33,rain,0,0.5,32.4,14.9,53.8,1000.9,70.4,10,37.5,3.1,2,,2020-03-03T06:19:49,2020-03-03T17:32:12,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-03-04,8.2,1.6,6,5.1,-1.1,3,1.6,74.1,0.425,100,4.17,rain,0,0,47.2,24,321.7,1009,54,10,56.3,4.9,2,,2020-03-04T06:17:53,2020-03-04T17:33:41,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-03-05,10.2,-1.7,4.4,10.2,-4.9,3,-1.8,66.9,0,0,0,,0,0,,13.2,164.1,1010.7,13.9,9.8,127.6,11,6,,2020-03-05T06:15:57,2020-03-05T17:35:10,0.38,Clear,Clear conditions throughout the day.,clear-day,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
"Budapest, MagyarorszГЎg",2020-03-06,6.1,2.7,4.7,5.4,-0.7,2.4,3.4,91.8,11.349,100,8.33,rain,0,0,32.4,13.3,115.4,1003.1,97.8,6.9,12.6,1,1,,2020-03-06T06:14:01,2020-03-06T17:36:39,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"12847099999,12843099999,12846099999,E3429,12836099999,12839099999"
